time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-21 04:21:21.210 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,143377711104,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1555820480660, , , , ,3145728,1218, , , ,20,4,55,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,1,9,13940224,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-21 04:22:21.216 UTC, ,589,3171725,1416,25184,224, ,5, ,53, , , , , , , , , ,5,5, , , , ,1,7, ,14, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,143375065088,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1555820480660, , , , ,3145728,2956, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,16037376,1, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,6,12,19,5, , , , , , 
2019-04-21 04:23:13.703 UTC, ,589,3171501,1416,25184, , ,5, ,3, , , , , , , , , ,5,5, , , , ,1,7, ,3, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,143370473472,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1555820480660, , , , ,3145728,2956, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,16037376,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , 
2019-04-21 14:33:34.448 UTC, ,125,3161973,1416,16120, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , , , , , , ,4440,2, ,3210, , , , ,4485,141145042944,54,54, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , , ,4485, ,1555857213958, , , , ,3145728,4440, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,100957,30, , , , , , , , ,1,10,14998016,2, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-21 14:34:28.630 UTC, ,589,3168861,1416,22544, , ,5, ,31,2,0.06, , , , , , , ,5,5, , , ,3,1,7, ,18,9, , , , , , , , , , , , , ,4440,2, ,3210, , , , ,4485,141144911872,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4485, ,1555857213958, , , , ,3145728,4807, , ,13,0, , , ,1, , , ,3, , , , ,13,1, , , , , , ,11485,14, , , , , , , , , , ,16046592,2, , , , , , ,32, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3, ,1, ,3,13,1,1, , , , , , 
2019-04-22 07:27:38.325 UTC, ,125,3161997,1416,16144, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,25,12, , , , , , , , , , , , , ,5576,3, ,5041, , , , ,5621,142010429440,-1,-1, , , , , ,1,75, , , , , , , , , , , , , , , , , , , , , , , , , ,5621, ,1555918057679, , , , ,3145728,5576, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,101042,31, , , , , , , , ,1,10,14994432,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-22 07:28:38.332 UTC, ,589,3168933,1416,22392,224, ,5, ,24,2,0.08, , , , , , , ,5,5, , , ,3,1,7, ,12,6, , , , , , , , , , , , , ,5576,3, ,5041, , , , ,5621,142010281984,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5621, ,1555918057679, , , , ,3145728,5715, , ,10,0, , , ,1, , , ,3, , , , ,10,1, , , , , , ,10847,11, , , , , , , , , , ,16043008,2, , , , , , ,20, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,3,8,1, , , , , , , 
2019-04-22 07:29:11.433 UTC, ,589,3168709,1416,22392, , ,5, , , , , , , , , , , ,5,5, , , ,3,1,7, , , , , , , , , , , , , , , , ,5576,3, ,5041, , , , ,5621,142010281984,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5621, ,1555918057679, , , , ,3145728,5715, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17091584,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:18:07.461 UTC, ,125,3162021,1416,16168, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,27,13, , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140793085952,31,31, , , , , ,1,87, , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6541, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,101131,32, , , , , , , , ,1,9,14996480,2, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:19:07.469 UTC, ,589,3168685,1416,22144,224, ,5, ,20,2,0.10, , , , , , , ,5,5, , , ,4,1,7, ,10,6, , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140792586240,29,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6674, , ,10,0, , , ,1, , , ,3, , , , ,10,1, , , , , , ,10783,11, , , , , , , , , , ,16045056,1, , , , , , ,19, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1,8,1, , , , , , , 
2019-04-26 11:20:07.486 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140788101120,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6674, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17093632,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:21:07.504 UTC, ,589,3168685,1416,22144,224, ,5, ,6, , , , , , , , , ,5,5, , , ,4,1,7, ,3,1, , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140786688000,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , ,1,0, , , , , , , ,3, , , , ,1,1, , , , , , ,162,1, , , , , , , , , , ,17093632,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,4,1,1, , , , , , 
2019-04-26 11:22:07.518 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140783730688,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17093632,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:23:07.536 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140781932544,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17093632,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:24:07.548 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140781903872,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18142208,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:25:07.561 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140781907968,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18142208,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:26:07.578 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140781797376,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18142208,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:27:07.595 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140780605440,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18142208,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:28:07.607 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140787490816,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19190784,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:29:07.621 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140787400704,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19190784,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:30:07.637 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140787269632,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19190784,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:31:07.652 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140788031488,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19190784,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:32:07.519 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140774125568,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19190784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:33:07.534 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140766523392,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,20239360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:34:07.546 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140763406336,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,20239360,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:35:07.562 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140762890240,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,20239360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:36:07.574 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140762877952,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,20239360,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:37:07.589 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140760358912,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,21287936,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:38:07.605 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140759220224,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,21287936,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:39:07.617 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140759138304,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,21287936,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:40:07.630 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140759150592,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,21287936,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:41:07.645 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140757958656,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22336512,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:42:07.660 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140761407488,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22336512,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:43:07.674 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140759986176,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22336512,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:44:07.683 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140757872640,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23385088,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:45:07.698 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140755427328,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23385088,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-26 11:46:07.704 UTC, ,589,3168685,1416,22144,224, ,5, , , , , , , , , , , ,5,5, , , ,4,1,7, , , , , , , , , , , , , , , , ,6541,4, ,5885, , , , ,6586,140754632704,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6586, ,1556277486812, , , , ,3145728,6980, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23385088,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
